"","species","decimalLongitude","decimalLatitude"
"305","Pteridium aquilinum",-79.388995,33.155908
"306","Pteridium aquilinum",-79.399873,33.151395
"307","Pteridium aquilinum",-78.640701,45.552277
"308","Pteridium aquilinum",-120.816361,47.536434
"309","Pteridium aquilinum",-94.297736,48.751644
"310","Pteridium aquilinum",-101.094444,19.623079
"311","Pteridium aquilinum",-88.409749,37.518543
"312","Pteridium aquilinum",-74.572762,39.822558
"313","Pteridium aquilinum",-131.606971,55.592205
"314","Pteridium aquilinum",-117.486573,50.103138
"315","Pteridium aquilinum",-83.72504,34.662475
"316","Pteridium aquilinum",-79.39527,33.136964
"317","Pteridium aquilinum",-79.315657,42.008802
"318","Pteridium aquilinum",-80.996755,27.68617
"319","Pteridium aquilinum",-115.06124,44.184113
"320","Pteridium aquilinum",-82.302224,27.676194
"321","Pteridium aquilinum",-122.066428,37.005292
"322","Pteridium aquilinum",-79.42656,39.025406
"323","Pteridium aquilinum",-72.364325,43.083997
"324","Pteridium aquilinum",-78.65032,43.01856
"325","Pteridium aquilinum",-121.834266,36.591113
"326","Pteridium aquilinum",-80.920455,27.701522
"327","Pteridium aquilinum",-121.458351,49.099075
"328","Pteridium aquilinum",-71.971568,41.45505
"329","Pteridium aquilinum",-74.54241,39.777476
"330","Pteridium aquilinum",-79.212897,37.745153
"331","Pteridium aquilinum",-81.5793,25.9889
"332","Pteridium aquilinum",-92.364861,34.940239
"333","Pteridium aquilinum",-105.020926,23.892832
"334","Pteridium aquilinum",-81.247067,28.863131
"335","Pteridium aquilinum",-76.485583,41.421801
"336","Pteridium aquilinum",-123.892717,41.140321
"337","Pteridium aquilinum",-72.095144,43.508774
"338","Pteridium aquilinum",-122.721398,38.024291
"339","Pteridium aquilinum",-81.0987,29.410274
"340","Pteridium aquilinum",-123.849579,49.110747
"341","Pteridium aquilinum",-72.095444,43.508769
"342","Pteridium aquilinum",-121.766182,36.661702
"343","Pteridium aquilinum",-72.096227,43.501616
"344","Pteridium aquilinum",-72.031929,44.789701
"345","Pteridium aquilinum",-122.947325,38.118669
"346","Pteridium aquilinum",-131.2006,55.416528
"347","Pteridium aquilinum",-123.373067,44.571229
"348","Pteridium aquilinum",-122.506955,37.859065
"349","Pteridium aquilinum",-122.502138,37.834187
"350","Pteridium aquilinum",-72.095701,43.501799
"351","Pteridium aquilinum",-122.504457,37.854459
"352","Pteridium aquilinum",-122.133473,37.045789
"353","Pteridium aquilinum",-70.162436,42.064525
"354","Pteridium aquilinum",-90.827264,44.279825
"355","Pteridium aquilinum",-82.283092,28.080301
"356","Pteridium aquilinum",-72.096823,43.501305
"357","Pteridium aquilinum",-75.559647,45.37075
"358","Pteridium aquilinum",-72.0947,43.50219
"359","Pteridium aquilinum",-122.836586,38.017532
"360","Pteridium aquilinum",-119.639715,34.454697
"361","Pteridium aquilinum",-71.01885,43.409731
"362","Pteridium aquilinum",-123.005932,38.537331
"363","Pteridium aquilinum",-72.09768,43.501099
"364","Pteridium aquilinum",-82.032114,29.203795
"365","Pteridium aquilinum",-71.39305,43.997383
"366","Pteridium aquilinum",-78.685002,39.596812
"367","Pteridium aquilinum",-72.09806,43.501755
"368","Pteridium aquilinum",-72.206812,42.65444
"369","Pteridium aquilinum",-75.090199,38.770739
"370","Pteridium aquilinum",-123.372405,44.570507
"371","Pteridium aquilinum",-122.339326,37.449447
"372","Pteridium aquilinum",-72.097122,43.501598
"373","Pteridium aquilinum",-81.233154,29.714434
"374","Pteridium aquilinum",-122.949547,44.154415
"375","Pteridium aquilinum",-131.37502,55.271076
"376","Pteridium aquilinum",-72.507828,41.685031
"377","Pteridium aquilinum",-123.595429,44.278377
"378","Pteridium aquilinum",-84.838529,29.90433
"379","Pteridium aquilinum",-81.250336,28.870405
"380","Pteridium aquilinum",-69.99296,41.880828
"381","Pteridium aquilinum",-72.095929,43.502496
"382","Pteridium aquilinum",-131.199563,55.410649
"383","Pteridium aquilinum",-122.266506,37.911657
"384","Pteridium aquilinum",-121.797547,36.512913
"385","Pteridium aquilinum",-79.887467,41.675228
"386","Pteridium aquilinum",-77.941911,39.941172
"387","Pteridium aquilinum",-117.467173,33.687451
"388","Pteridium aquilinum",-117.509302,33.604533
"389","Pteridium aquilinum",-117.487678,33.592669
"390","Pteridium aquilinum",-120.45167,35.21194
"391","Pteridium aquilinum",-116.72489,33.72156
"392","Pteridium aquilinum",-116.9866,33.4675
"393","Pteridium aquilinum",-117.885,34.35056
"394","Pteridium aquilinum",-117.5656,34.2094
"395","Pteridium aquilinum",-116.60611,33.14444
"396","Pteridium aquilinum",-89.424264,45.705022
"397","Pteridium aquilinum",-123.889365,40.860999
"398","Pteridium aquilinum",-73.176024,44.491344
"399","Pteridium aquilinum",-57.942296,48.942949
